symbol,listing_years
FTCS,20.0
VCR,22.5
IWF,26.1
EUO,17.6
RSP,23.2
KBWP,15.6
VDC,22.5
EFV,20.9
INDY,16.6
VPU,22.5
TUR,18.3
RWX,19.6
FXI,21.8
FAN,18.0
PBE,21.1
PWV,21.4
SLYV,25.8
VMBS,16.6
FTC,19.2
IEV,26.0
FEM,15.2
PZA,18.7
IVW,26.1
DBB,19.5
VOOG,15.8
PBP,18.5
XLI,27.6
GNR,15.8
FXZ,19.2
EWG,30.3
SCC,19.4
LIT,16.0
IYY,26.1
MCHI,15.3
XHE,15.5
MUB,18.8
IDU,26.1
IYZ,26.1
PVI,18.7
XNTK,25.8
DRV,17.0
PXF,19.0
FPA,15.2
URTY,16.4
WTV,19.4
FDM,20.8
SSO,20.1
LQD,24.0
GVI,19.5
PEJ,21.1
DBA,19.5
IEF,24.0
DNL,20.1
GLTR,15.7
XMHQ,19.6
PHO,20.6
RWR,24.9
EET,17.1
OIH,25.4
XME,20.1
PCY,18.8
IGM,25.3
PIO,19.1
SPLV,15.2
IMCB,22.0
TZA,17.6
DXJ,20.1
SPVM,15.1
BIV,19.3
SPXS,17.6
SPLB,17.3
SPIB,17.4
GDXJ,16.7
XBI,20.4
EWV,18.7
KRE,20.1
BND,19.3
IXP,24.6
RSPU,19.7
IPB,22.5
EWD,30.3
FBT,20.1
FXG,19.2
DGS,18.7
GGME,21.1
AIA,18.6
FDD,18.9
FXO,19.2
SBB,19.5
ROM,19.4
RFV,20.4
TBT,18.1
DRN,17.0
VV,22.5
DIA,28.5
DBE,19.5
SCHG,16.5
EPS,19.4
GOVI,18.8
TECL,17.5
ZROZ,16.7
XHB,20.4
FVD,22.9
QCLN,19.4
SIJ,19.4
SUB,17.6
FXD,19.2
GXC,19.3
UGA,18.4
EFU,18.7
YXI,16.3
RSPF,19.7
PSP,19.7
RFG,20.4
FLTR,15.2
UNL,16.5
RWL,18.3
IYF,26.1
DSI,19.7
YANG,16.6
EZU,25.9
SHV,19.5
ISHG,17.5
FAS,17.6
IGE,24.6
XMVM,21.4
IAK,20.2
EWU,30.3
DES,20.1
FAB,19.2
FLOT,15.1
REK,16.3
PBD,19.1
EFO,17.1
IJS,26.0
EWM,30.3
BIL,19.1
IMCV,22.0
XMMO,21.4
CEW,17.1
LTPZ,16.8
SCHB,16.7
FAZ,17.6
IWX,16.8
SMMU,16.4
IJR,26.1
MGK,18.5
SPYM,20.7
URA,15.7
EIRL,16.2
BRF,17.2
EQL,17.0
EWI,30.3
TFI,18.8
BWX,18.8
AMLP,15.9
UWM,19.5
IUSG,26.0
ERY,17.6
RXD,19.4
SPMB,17.4
SCHR,15.9
PSQ,20.1
DHS,20.1
PNQI,18.1
VEU,19.3
RSPS,19.7
MDYV,20.7
CWB,17.2
IFGL,18.6
VXUS,15.5
EZJ,17.1
EVX,19.7
FLN,15.2
SIVR,17.0
PZT,18.8
ILTB,16.6
STIP,15.6
DFJ,20.1
IVOO,15.8
IJJ,26.0
FJP,15.2
JXI,19.8
SDP,19.3
VOE,19.9
QAI,17.3
MGC,18.5
KCE,20.7
ILCV,22.0
PSI,21.1
EEV,18.7
SPAB,19.1
SCHX,16.7
BMVP,23.2
USO,20.3
DWM,20.1
UPV,16.2
MYY,20.1
HDGE,15.5
QQQ,27.3
FXL,19.2
EWQ,30.3
AOR,17.6
ISCV,22.0
BIS,16.3
PSCT,16.3
IEZ,20.2
IYK,26.1
SMB,18.4
REMX,15.7
EWN,30.3
REM,19.2
XMPT,15.0
FCG,19.2
EUFN,16.4
PID,20.8
VNQI,15.7
IWS,24.9
VTV,22.5
PPH,26.4
SSG,19.4
RXI,19.8
UMDD,16.4
ARGT,15.4
VNM,16.9
XSD,20.4
IGLB,16.6
TIPZ,16.8
GLD,21.6
VGIT,16.6
PTF,19.8
KBWY,15.6
IGIB,19.5
PHYS,16.4
VOT,19.9
CVY,19.8
PGX,18.4
IFLN,18.7
SCZ,18.6
SOXX,25.0
IWD,26.1
SCO,17.6
PIE,18.5
DTD,20.1
PBJ,21.1
SCJ,18.5
GSG,20.0
SPSB,16.5
PBW,21.4
SPY,33.5
FIW,19.2
IVOG,15.8
SPXL,17.7
GRPM,15.6
PGJ,21.6
MINT,16.7
YCL,17.6
ITOT,22.5
VGT,22.5
CORP,15.8
IJK,26.0
NUGT,15.6
VOO,15.8
RSPM,19.7
CMR.TO,18.4
ZDM.TO,16.2
ZQQ.TO,16.5
HXS.TO,15.5
ZRE.TO,16.1
HAB.TO,15.9
GDXU.TO,19.0
HUC.TO,16.7
ZAG.TO,16.5
XWD.TO,16.7
ZEM.TO,16.2
HPR.TO,15.5
XSU.TO,19.2
HUG.TO,16.7
CEW.TO,18.4
CYH.TO,18.5
DLR.TO,15.3
XLB.TO,19.7
ZST.TO,15.4
XSP.TO,24.2
QQD.TO,18.0
XIG.TO,16.5
CGR.TO,17.5
CBO.TO,16.6
XCH.TO,16.5
HND.TO,18.5
CIF.TO,17.5
GDXD.TO,19.0
HAL.TO,16.2
CDZ.TO,19.8
HAF.TO,16.7
XRB.TO,20.5
XIT.TO,25.3
XCV.TO,19.7
ZMT.TO,16.2
ZEF.TO,16.1
GLCC.TO,15.2
ZFL.TO,16.1
CNCC.TO,15.3
XBB.TO,25.6
CVD.TO,15.1
HUN.TO,16.7
XID.TO,16.5
HOU.TO,18.5
ZEO.TO,16.2
ZRR.TO,16.1
HNU.TO,18.5
CFOD.TO,19.1
XRE.TO,23.7
ZWB.TO,15.4
XCG.TO,19.7
ZUB.TO,16.1
XCS.TO,19.2
XBAL.TO,19.1
XTR.TO,20.5
GLDU.TO,18.5
SPXI.TO,16.2
ZPS.TO,16.2
CGAA.TO,18.0
XSB.TO,25.6
XEM.TO,16.7
XDV.TO,20.5
CFOU.TO,19.1
XIN.TO,24.2
ZCH.TO,16.5
COW.TO,18.6
XMA.TO,20.5
XIU.TO,26.8
SLVU.TO,16.6
ZCM.TO,16.5
CLF.TO,18.4
XGD.TO,25.3
ZCN.TO,16.2
RIT.TO,18.0
HAZ.TO,15.9
ZEB.TO,16.2
ZHY.TO,16.3
ZUT.TO,16.5
ZCS.TO,16.2
HUZ.TO,16.7
SPXU.TO,17.6
CWW.TO,18.7
CGXF.TO,15.1
CNDD.TO,19.1
XQB.TO,16.2
NRGD.TO,19.0
ZID.TO,16.5
QQU.TO,17.6
XCB.TO,19.7
CNDU.TO,19.5
XEG.TO,25.3
