symbol,category,listing_years,annualized_volatility,trigger_zscore,optimal_days,best_rebound_ratio,event_count,total_trading_days,return_mean,return_std,rank
SZK,Trading--Inverse Equity,19.4,0.3364,3.5,2,1.0556,8,2511,0.999662,0.015093,1
CFOD.TO,未分類,19.1,0.3358,3.5,3,1.0547,8,2508,0.999231,0.012312,2
SKF,Trading--Inverse Equity,19.4,0.4075,3.5,3,1.0496,12,2511,0.999378,0.013342,3
SPXS,Trading--Inverse Equity,17.6,0.5352,3.0,3,1.0457,14,2511,0.998946,0.017401,4
SPXL,Trading--Leveraged Equity,17.7,0.534,3.0,3,1.0436,13,2511,1.001408,0.017257,5
HUZ.TO,未分類,16.7,0.3347,3.5,3,1.0436,9,2508,1.001074,0.014931,6
EWV,Trading--Inverse Equity,18.7,0.3514,3.0,3,1.0425,9,2511,1.000272,0.01673,7
SPXU,Trading--Inverse Equity,17.0,0.5335,3.0,3,1.0411,15,2511,0.999026,0.017427,8
PSLV,未分類,15.7,0.315,3.5,3,1.0402,10,2511,1.001491,0.013171,9
SLV,Commodities Focused,20.2,0.3217,3.5,3,1.0371,10,2511,1.00095,0.013619,10
VNM,Focused Region,16.9,0.2343,3.0,3,1.0366,10,2511,1.000859,0.009089,11
QLD,Trading--Leveraged Equity,20.1,0.4486,3.5,2,1.0359,12,2511,1.001111,0.014898,12
SRS,Trading--Inverse Equity,19.4,0.4078,3.5,3,1.0351,8,2511,0.999942,0.010205,13
IXN,Technology,24.6,0.2474,3.5,2,1.0336,9,2511,1.000556,0.008554,14
SDS,Trading--Inverse Equity,20.0,0.3579,3.0,3,1.0331,12,2511,0.999319,0.011565,15
TWM,Trading--Inverse Equity,19.5,0.4572,3.5,3,1.0324,9,2511,0.998948,0.01475,16
PPLT,Commodities Focused,16.5,0.2924,3.0,3,1.0323,8,2511,1.000626,0.013095,17
SIVR,Commodities Focused,17.0,0.3221,3.5,3,1.0321,13,2511,1.000983,0.013571,18
IMVP,未分類,18.4,0.1932,3.5,3,1.032,8,2511,1.000319,0.008695,19
MZZ,Trading--Inverse Equity,20.0,0.4126,3.0,2,1.032,12,2511,0.999172,0.016603,20
ECNS,Greater China Region,15.8,0.258,3.5,2,1.032,10,2511,1.000371,0.012154,21
LTL,Trading--Leveraged Equity,18.1,0.3689,3.5,3,1.032,12,2511,1.000391,0.018405,22
XPP,Trading--Leveraged Equity,17.1,0.5477,3.0,2,1.0301,9,2511,0.999987,0.026219,23
UPRO,Trading--Leveraged Equity,17.0,0.5372,3.0,3,1.0297,15,2511,1.001295,0.017314,24
SSO,Trading--Leveraged Equity,20.1,0.3588,3.0,3,1.0295,13,2511,1.000874,0.011511,25
SDD,Trading--Inverse Equity,19.5,0.4503,3.0,2,1.0284,8,2511,0.999143,0.018357,26
SMOG,Miscellaneous Sector,19.2,0.257,3.0,3,1.0274,10,2511,1.000345,0.010243,27
COLO,Focused Region,17.4,0.2537,3.5,3,1.0262,9,2511,1.000717,0.008134,28
DXD,Trading--Inverse Equity,20.0,0.3486,3.0,2,1.0261,11,2511,0.99939,0.011367,29
XMA.TO,未分類,20.5,0.2691,3.5,3,1.0257,9,2508,1.000477,0.009525,30
MVV,Trading--Leveraged Equity,20.1,0.4226,2.5,3,1.0251,24,2511,1.000902,0.012837,31
SMN,Trading--Inverse Equity,19.4,0.4284,2.5,3,1.025,21,2511,0.9997,0.017023,32
RDOG,Real Estate,18.1,0.2306,3.5,3,1.0249,11,2511,1.000093,0.010124,33
RWM,Trading--Inverse Equity,19.5,0.2308,3.5,2,1.0243,12,2511,0.999463,0.007421,34
BNO,Commodities Focused,16.1,0.3678,3.0,3,1.0239,17,2511,1.000926,0.015321,35
FLN,Focused Region,15.2,0.2749,3.0,3,1.0237,13,2511,1.001347,0.012372,36
EEV,Trading--Inverse Equity,18.7,0.4155,2.5,2,1.0234,23,2511,0.999765,0.019037,37
HUC.TO,未分類,16.7,0.2893,3.5,3,1.0232,13,2508,1.001011,0.013044,38
UGE,Trading--Leveraged Equity,19.4,0.3311,2.5,3,1.023,28,2511,1.000819,0.01408,39
GXC,Greater China Region,19.3,0.2604,2.5,3,1.0224,21,2511,1.000141,0.012216,40
XGD.TO,未分類,25.3,0.3354,3.0,3,1.0224,13,2508,1.000956,0.011203,41
UWM,Trading--Leveraged Equity,19.5,0.46,2.5,3,1.0222,24,2511,1.001057,0.014744,42
UGA,Commodities Focused,18.4,0.3723,3.5,2,1.0221,10,2511,1.000684,0.014606,43
SIJ,Trading--Inverse Equity,19.4,0.3967,3.0,2,1.022,12,2511,0.99994,0.017709,44
SEF,Trading--Inverse Equity,18.1,0.2046,3.5,3,1.022,9,2511,0.999631,0.007055,45
CNCC.TO,未分類,15.3,0.1472,3.5,3,1.022,16,2508,1.000699,0.00708,46
UCC,Trading--Leveraged Equity,19.4,0.4076,2.5,3,1.0218,34,2511,1.000691,0.019017,47
EWN,Focused Region,30.3,0.2123,3.0,3,1.0217,10,2511,1.000363,0.009511,48
SH,Trading--Inverse Equity,20.1,0.18,3.0,3,1.0214,12,2511,0.999589,0.005889,49
CURE,Trading--Leveraged Equity,15.1,0.4969,3.5,3,1.0209,9,2511,1.00092,0.013595,50
REK,Trading--Inverse Equity,16.3,0.2036,3.0,3,1.0206,9,2511,1.000119,0.006524,51
XID.TO,未分類,16.5,0.1818,3.0,2,1.0206,13,2508,1.000482,0.008149,52
KBWP,Financial,15.6,0.2076,3.5,2,1.0205,14,2511,1.000981,0.006802,53
ROM,Trading--Leveraged Equity,19.4,0.5037,3.5,3,1.0204,13,2511,1.001446,0.017132,54
CQQQ,Greater China Region,16.5,0.3348,3.0,3,1.02,12,2511,1.000572,0.015476,55
CNDD.TO,未分類,19.1,0.2997,3.0,3,1.02,14,2508,0.999244,0.009975,56
IGPT,Technology,21.1,0.2706,3.5,3,1.0199,14,2511,1.000911,0.009283,57
DIG,Trading--Leveraged Equity,19.4,0.5781,2.5,2,1.0199,28,2511,1.001694,0.019101,58
VGT,Technology,22.5,0.248,3.5,2,1.0197,11,2511,1.000781,0.008193,59
DUG,Trading--Inverse Equity,19.4,0.5882,3.0,3,1.0196,14,2511,0.99908,0.018905,60
UDOW,Trading--Leveraged Equity,16.4,0.5169,3.5,2,1.0194,8,2511,1.001096,0.016804,61
IVV,Large Blend,26.1,0.1805,3.5,3,1.0191,10,2511,1.000531,0.005759,62
PGJ,Greater China Region,21.6,0.3672,3.0,3,1.0187,11,2511,1.000531,0.014545,63
EWD,Focused Region,30.3,0.2317,3.0,3,1.0187,17,2511,1.00017,0.01073,64
EPOL,Focused Region,16.1,0.2741,3.0,3,1.0187,14,2511,1.000224,0.012172,65
FCG,Equity Energy,19.2,0.3824,2.5,3,1.0187,26,2511,1.001164,0.011411,66
OEF,Large Blend,25.7,0.1846,3.0,3,1.0186,13,2511,1.000515,0.005995,67
XCH.TO,未分類,16.5,0.2569,3.0,2,1.0183,8,2508,1.000398,0.011677,68
GDX,Equity Precious Metals,20.1,0.3736,3.5,1,1.0182,10,2511,1.000825,0.013084,69
XLK,Technology,27.6,0.2479,3.5,2,1.0179,9,2511,1.000679,0.008295,70
SKYY,Technology,15.0,0.2689,3.5,2,1.0179,11,2511,1.000549,0.008856,71
EWI,Focused Region,30.3,0.2251,3.5,3,1.0179,10,2511,1.000418,0.010208,72
URA,Natural Resources,15.7,0.3798,2.0,3,1.0179,47,2511,1.001518,0.011188,73
DFJ,Japan Stock,20.1,0.1694,2.5,3,1.0176,21,2511,1.000173,0.008305,74
EWK,Focused Region,30.3,0.188,3.5,3,1.0175,14,2511,1.000094,0.008658,75
CWW.TO,未分類,18.7,0.1644,3.0,3,1.0174,14,2508,1.000811,0.006062,76
EWC,Focused Region,30.3,0.1867,3.5,3,1.0173,11,2511,1.00038,0.006267,77
XIT.TO,未分類,25.3,0.2673,3.5,2,1.017,9,2508,1.000649,0.008071,78
EWT,Greater China Region,26.1,0.2191,3.5,1,1.0169,8,2511,1.000659,0.010387,79
FDN,Technology,20.1,0.2561,3.5,3,1.0168,15,2511,1.000378,0.008513,80
EPV,Trading--Inverse Equity,17.1,0.3684,3.5,1,1.0168,9,2511,0.999872,0.016225,81
PBD,Global Small/Mid Stock,19.1,0.2735,3.5,3,1.0167,10,2511,1.000476,0.009748,82
TBT,Trading--Inverse Debt,18.1,0.2867,3.5,3,1.0167,12,2511,1.000605,0.01281,83
ARGT,Focused Region,15.4,0.3148,3.5,2,1.0167,13,2511,1.001102,0.009433,84
PSCF,Financial,16.3,0.2474,3.5,2,1.0166,8,2511,1.000653,0.009307,85
SLX,Natural Resources,19.7,0.3077,3.5,1,1.0165,8,2511,1.000933,0.011119,86
UGL,Trading--Leveraged Commodities,17.6,0.3263,3.0,2,1.0163,22,2511,1.00103,0.014153,87
TAN,Miscellaneous Sector,18.2,0.3818,3.5,2,1.0162,11,2511,1.001017,0.013168,88
QQU.TO,未分類,17.6,0.4513,3.5,2,1.0162,12,2508,1.001256,0.014994,89
EWZ,Focused Region,26.0,0.3391,3.5,3,1.0161,12,2511,1.000644,0.012708,90
RSPU,Utilities,19.7,0.1913,3.5,2,1.016,10,2511,1.000598,0.004459,91
COPX,Natural Resources,16.2,0.3575,3.0,3,1.016,13,2511,1.001485,0.012989,92
FCA,Greater China Region,15.2,0.2672,3.5,2,1.016,9,2511,1.000417,0.013801,93
VOO,Large Blend,15.8,0.18,3.0,3,1.0159,13,2511,1.000536,0.005756,94
CSM,Large Blend,17.0,0.1836,3.0,3,1.0158,20,2511,1.000355,0.006278,95
SMH,Technology,26.1,0.3314,3.0,2,1.0157,19,2511,1.001225,0.011726,96
GLDU.TO,未分類,18.5,0.3284,3.5,2,1.0156,11,2508,1.000932,0.014769,97
IEV,Europe Stock,26.0,0.182,3.5,3,1.0155,9,2511,1.000211,0.007898,98
XMHQ,Mid-Cap Blend,19.6,0.2065,2.5,3,1.0154,28,2511,1.001226,0.008081,99
SPXU.TO,未分類,17.6,0.3579,3.0,3,1.0154,20,2508,1.000948,0.011642,100
