symbol,category,original_rank,trigger_zscore,optimal_days,best_rebound_ratio,yesterday_date,yesterday_return,z_yesterday,distance
RSP,Large Blend,113,-3.0,3,1.0094,2026-07-15,0.9964,-0.47,2.527
EZM,Small Value,114,-3.0,3,1.0093,2026-07-15,1.0035,0.35,3.351
ILCV,Large Value,115,-3.0,3,1.0092,2026-07-15,1.0048,0.71,3.706
IWV,Large Blend,116,-3.0,3,1.0092,2026-07-15,1.001,0.12,3.121
FTC,Large Growth,117,-2.5,3,1.0092,2026-07-15,0.9873,-1.34,1.157
DSI,Large Blend,118,-3.0,1,1.0091,2026-07-15,0.9978,-0.27,2.734
IVW,Large Growth,119,-2.5,3,1.009,2026-07-15,1.001,0.1,2.599
QQQ,Large Growth,120,-3.5,2,1.009,2026-07-15,0.9914,-0.84,2.658
RPV,Mid-Cap Value,121,-2.5,3,1.0089,2026-07-15,1.0013,0.12,2.618
IWX,Large Value,122,-2.5,3,1.0089,2026-07-15,1.0046,0.68,3.183
SPYM,未分類,123,-3.0,3,1.0089,2026-07-15,1.0009,0.13,3.126
VOE,Mid-Cap Value,124,-3.0,3,1.0089,2026-07-15,0.9952,-0.59,2.415
IWD,Large Value,125,-3.5,1,1.0088,2026-07-15,1.0027,0.38,3.878
PWB,Large Growth,126,-2.0,3,1.0087,2026-07-15,0.98,-2.07,0.0
VV,Large Blend,127,-3.5,3,1.0085,2026-07-15,1.0007,0.08,3.578
VONE,Large Blend,128,-3.0,3,1.0085,2026-07-15,0.9996,-0.04,2.96
FTCS,Large Blend,129,-2.0,3,1.0083,2026-07-15,1.0018,0.29,2.288
IWB,Large Blend,130,-3.5,1,1.0083,2026-07-15,1.0003,0.03,3.533
VOOG,Large Growth,131,-2.5,3,1.0081,2026-07-15,1.0011,0.12,2.619
PWV,Large Value,132,-3.0,3,1.0081,2026-07-15,1.0013,0.13,3.132
ZFL.TO,債券(加拿大聯邦長天期債券),133,-3.5,2,1.008,2026-07-15,1.0034,0.58,4.085
IYY,Large Blend,134,-3.5,1,1.0079,2026-07-15,0.9997,-0.04,3.461
MGC,Large Blend,135,-3.0,3,1.0079,2026-07-15,1.0024,0.29,3.294
VUG,Large Growth,136,-3.0,1,1.0079,2026-07-15,1.0041,0.4,3.401
MDYG,Mid-Cap Growth,137,-2.0,3,1.0079,2026-07-15,0.995,-0.48,1.517
DHS,Large Value,138,-3.5,1,1.0078,2026-07-15,1.0024,0.35,3.85
FVD,Mid-Cap Value,139,-3.5,3,1.0078,2026-07-15,0.9992,-0.12,3.38
SCHV,Large Value,140,-2.5,3,1.0078,2026-07-15,0.9912,-1.28,1.223
XIU.TO,加拿大廣泛股票指數(TSX60),141,-3.0,3,1.0077,2026-07-15,1.0026,0.42,3.422
SCHM,Mid-Cap Blend,142,-2.0,3,1.0077,2026-07-15,0.9933,-0.71,1.286
IMCG,Mid-Cap Growth,143,-2.5,3,1.0076,2026-07-15,0.9883,-1.2,1.299
VBK,Small Growth,144,-2.5,3,1.0076,2026-07-15,0.9931,-0.6,1.899
IVE,Large Value,145,-2.5,3,1.0076,2026-07-15,0.9992,-0.12,2.377
