symbol,category,listing_years,annualized_volatility,trigger_zscore,optimal_days,best_rebound_ratio,event_count,total_trading_days,return_mean,return_std,rank
VTWV,Small Value,15.8,0.2348,2.5,3,1.0086,26,2511,1.000713,0.007343,66
DON,Mid-Cap Value,20.1,0.2021,3.0,3,1.0085,19,2511,1.000679,0.005672,67
IWL,Large Blend,16.8,0.181,3.0,3,1.0084,13,2511,1.000731,0.005996,68
MDYG,Mid-Cap Growth,20.7,0.2106,2.5,3,1.0084,35,2511,1.000778,0.006641,69
SPYV,Large Value,25.8,0.1688,3.5,2,1.0084,9,2511,1.000531,0.005127,70
FDL,Large Value,20.3,0.1712,2.5,3,1.0084,26,2511,1.000432,0.004501,71
FTCS,Large Blend,20.0,0.1552,3.0,3,1.0084,19,2511,1.000721,0.004491,72
SPGP,Large Value,15.1,0.2121,3.0,3,1.0084,19,2511,1.000737,0.006605,73
ISCV,Small Value,22.0,0.232,2.5,3,1.0083,26,2511,1.000665,0.007294,74
VTWG,Small Growth,15.8,0.2423,3.0,2,1.0082,19,2511,1.00102,0.008108,75
VOE,Mid-Cap Value,19.9,0.1873,3.0,3,1.0082,21,2511,1.000557,0.005304,76
XBAL.TO,未分類,19.1,0.0941,3.5,3,1.0082,9,2508,1.000514,0.003686,77
IJH,Mid-Cap Blend,26.1,0.2113,2.5,3,1.0079,28,2511,1.000575,0.006332,78
VIOO,Small Blend,15.8,0.2294,2.5,3,1.0078,24,2511,1.000821,0.00691,79
VOT,Mid-Cap Growth,19.9,0.2101,3.0,3,1.0077,16,2511,1.000688,0.006716,80
SCHA,Small Blend,16.7,0.2274,2.5,3,1.0077,25,2511,1.000583,0.006976,81
ILCB,Large Blend,22.0,0.1817,3.0,3,1.0074,20,2511,1.000317,0.00606,82
IWO,Small Growth,26.0,0.2415,3.0,2,1.0074,17,2511,1.000669,0.007735,83
XWD.TO,未分類,16.7,0.1534,3.5,3,1.0073,9,2508,1.000654,0.005334,84
SCHV,Large Value,16.6,0.1692,3.5,2,1.0073,11,2511,1.000366,0.005079,85
SLYG,Small Growth,25.8,0.2271,2.5,3,1.0072,28,2511,1.000776,0.006825,86
RWL,Large Value,18.3,0.1681,3.5,2,1.0072,8,2511,1.00064,0.005356,87
VBR,Small Value,22.5,0.2165,2.5,3,1.0071,27,2511,1.000637,0.00617,88
XCV.TO,未分類,19.7,0.1552,3.0,3,1.0071,15,2508,1.000608,0.006038,89
SLYV,Small Value,25.8,0.239,2.5,3,1.0071,20,2511,1.000647,0.007005,90
VYM,Large Value,19.7,0.1629,3.5,2,1.007,9,2511,1.000488,0.004763,91
XLB.TO,未分類,19.7,0.1165,3.0,3,1.007,8,2508,0.99989,0.004452,92
CGAA.TO,未分類,18.0,0.1549,3.5,2,1.007,10,2507,1.000451,0.006444,93
FTC,Large Growth,19.2,0.2069,2.5,3,1.0067,46,2511,1.000591,0.006922,94
IMCV,Mid-Cap Value,22.0,0.1954,2.5,3,1.0067,28,2511,1.000642,0.006316,95
RPG,Large Growth,20.4,0.2302,3.5,3,1.0067,12,2511,1.000513,0.007392,96
VONG,Large Growth,15.8,0.2095,1.0,3,1.0066,200,2511,1.000865,0.00684,97
IWD,Large Value,26.1,0.1724,3.5,2,1.0066,10,2511,1.000449,0.00521,98
PBW,Small Growth,21.4,0.3911,1.5,2,1.0064,121,2511,1.001764,0.011586,99
VTWO,Small Blend,15.8,0.2305,2.0,3,1.0064,57,2511,1.000756,0.007465,100
RSP,Large Blend,23.2,0.1828,3.5,2,1.0064,12,2511,1.000438,0.005547,101
IUSV,Large Value,25.9,0.1698,3.5,2,1.0063,8,2511,1.000582,0.00513,102
PEY,Mid-Cap Value,21.6,0.1887,2.5,3,1.0062,25,2511,1.00051,0.004687,103
ZQQ.TO,未分類,16.5,0.2259,1.5,3,1.0062,107,2508,1.000728,0.007743,104
PWB,Large Growth,21.4,0.2105,2.5,3,1.0061,45,2511,1.000723,0.00698,105
XMVM,Small Value,21.4,0.2275,1.5,3,1.0061,91,2511,1.00086,0.007797,106
PDP,Large Growth,19.4,0.2182,1.5,3,1.0061,96,2511,1.000636,0.007056,107
ZWB.TO,未分類,15.4,0.1569,2.0,3,1.0061,45,2508,1.000465,0.004173,108
XDV.TO,未分類,20.5,0.1464,2.0,3,1.0059,42,2508,1.000231,0.003815,109
IWP,Mid-Cap Growth,24.9,0.2169,3.0,3,1.0059,17,2511,1.000529,0.006816,110
XEM.TO,未分類,16.7,0.1839,3.5,3,1.0059,8,2508,1.000489,0.008437,111
ILCV,Large Value,22.0,0.1662,2.5,3,1.0058,31,2511,1.000679,0.005424,112
VIOV,Small Value,15.8,0.2382,2.5,3,1.0058,29,2511,1.000772,0.00699,113
IWN,Small Value,26.0,0.2333,2.5,3,1.0058,30,2511,1.000737,0.006984,114
FNY,Mid-Cap Growth,15.2,0.2242,2.5,3,1.0057,39,2511,1.001032,0.007834,115
DVY,Mid-Cap Value,22.7,0.18,2.5,3,1.0056,32,2511,1.000233,0.004861,116
IJJ,Mid-Cap Value,26.0,0.2196,3.0,2,1.0055,21,2511,1.000589,0.006204,117
QQQ,Large Growth,27.3,0.2245,3.5,3,1.0054,16,2511,1.000646,0.007422,118
RFG,Mid-Cap Growth,20.4,0.2306,3.5,2,1.0054,11,2511,1.000359,0.008601,119
IJK,Mid-Cap Growth,26.0,0.2106,3.5,2,1.0054,11,2511,1.00057,0.006467,120
IWR,Mid-Cap Blend,24.9,0.1931,2.5,3,1.0054,34,2511,1.000602,0.006004,121
SPHQ,Large Blend,20.6,0.1795,2.0,3,1.0053,56,2511,1.00043,0.005867,122
SCHG,Large Growth,16.5,0.2157,3.0,3,1.0053,17,2511,1.000657,0.006948,123
IJT,Small Growth,26.0,0.2299,2.5,3,1.0053,29,2511,1.00063,0.006882,124
FNK,Small Value,15.2,0.2375,2.0,3,1.0052,49,2511,1.000716,0.008328,125
HXS.TO,未分類,15.5,0.1655,3.0,3,1.0052,13,2508,1.000839,0.005443,126
POWA,Large Blend,19.6,0.1604,2.0,3,1.005,48,2511,1.000166,0.005258,127
ZEM.TO,未分類,16.2,0.1883,2.5,3,1.005,32,2508,1.000152,0.008265,128
IVOO,Mid-Cap Blend,15.8,0.2115,1.0,3,1.0049,218,2511,1.00079,0.006364,129
WTV,Mid-Cap Value,19.4,0.1892,2.5,3,1.0049,27,2511,1.000848,0.007415,130
DIA,Large Value,28.5,0.1751,2.5,3,1.0049,26,2511,1.00044,0.005605,131
ZCN.TO,未分類,16.2,0.1498,2.0,3,1.0048,53,2508,1.000659,0.004598,132
XSVM,Small Value,21.4,0.2501,2.5,2,1.0048,29,2511,1.000883,0.008312,133
RWK,Mid-Cap Value,18.3,0.2289,1.5,3,1.0047,97,2511,1.00102,0.007672,134
RZV,Small Value,20.4,0.2689,2.0,2,1.0047,41,2511,1.000642,0.008993,135
CZA,Mid-Cap Blend,19.3,0.1919,1.0,3,1.0046,213,2511,1.000206,0.006776,136
XCG.TO,未分類,19.7,0.1653,2.5,2,1.0045,31,2508,1.000506,0.00672,137
EES,Small Value,19.4,0.2371,3.0,2,1.0045,16,2511,1.000547,0.007109,138
XMMO,Mid-Cap Blend,21.4,0.2235,3.5,3,1.0044,16,2511,1.001149,0.007211,139
XRB.TO,未分類,20.5,0.1131,3.0,3,1.0044,18,2508,0.999843,0.004498,140
IWC,Small Blend,20.9,0.2446,2.5,2,1.0044,27,2511,1.000851,0.007727,141
RZG,Small Growth,20.4,0.2463,1.0,3,1.0043,206,2511,1.000659,0.009806,142
VONV,Large Value,15.8,0.172,3.5,2,1.0042,12,2511,1.000563,0.005183,143
EPS,Large Value,19.4,0.1763,3.5,3,1.0042,9,2511,1.000618,0.005796,144
ILCG,Large Growth,22.0,0.2165,1.0,3,1.0042,207,2511,1.000591,0.00721,145
FVD,Mid-Cap Value,22.9,0.1544,3.5,2,1.0041,10,2511,1.000397,0.003919,146
FYC,Small Growth,15.2,0.246,2.0,2,1.0041,62,2511,1.001193,0.008196,147
FAB,Mid-Cap Value,19.2,0.2195,1.5,3,1.0041,104,2511,1.000276,0.008147,148
GRPM,Small Blend,15.6,0.2219,2.0,3,1.0038,46,2511,1.000917,0.008658,149
EQWL,Large Value,19.6,0.1671,2.0,3,1.0037,44,2511,1.000876,0.006295,150
VBK,Small Growth,22.5,0.2289,1.0,3,1.0037,206,2511,1.000766,0.007124,151
FEX,Large Blend,19.2,0.1856,2.0,3,1.0037,53,2511,1.000486,0.006013,152
CDZ.TO,未分類,19.8,0.1459,1.5,3,1.0037,72,2508,1.000335,0.00367,153
SDY,Mid-Cap Value,20.7,0.1707,1.0,3,1.0037,199,2511,1.000384,0.004273,154
RIT.TO,未分類,18.0,0.1546,3.0,1,1.0037,13,2508,1.000464,0.004127,155
HPR.TO,未分類,15.5,0.1175,3.0,3,1.0036,12,2508,1.000291,0.004047,156
IVOG,Mid-Cap Growth,15.8,0.2059,1.0,3,1.0036,185,2511,1.000748,0.006741,157
IMCB,Mid-Cap Blend,22.0,0.196,1.0,3,1.0036,222,2511,1.000366,0.006114,158
PWV,Large Value,21.4,0.1714,3.0,3,1.0035,19,2511,1.00021,0.005216,159
IWX,Large Value,16.8,0.1648,2.0,3,1.0034,56,2511,1.000464,0.005296,160
UPGD,Mid-Cap Blend,20.2,0.2155,1.5,3,1.0034,109,2511,1.000445,0.00829,161
PKW,Mid-Cap Value,19.6,0.1969,2.0,3,1.0033,44,2511,1.000186,0.006067,162
IJR,Small Blend,26.1,0.2285,1.0,3,1.0032,226,2511,1.000584,0.006972,163
VTV,Large Value,22.5,0.1661,3.0,3,1.0032,16,2511,1.00046,0.004919,164
DES,Small Value,20.1,0.2191,2.0,3,1.0032,49,2511,1.000686,0.005985,165
FDM,Small Value,20.8,0.2332,2.5,2,1.003,33,2511,1.001017,0.007682,166
VXF,Mid-Cap Blend,24.5,0.2226,1.0,3,1.003,216,2511,1.000726,0.007049,167
IWS,Mid-Cap Value,24.9,0.193,3.0,2,1.003,18,2511,1.000527,0.005594,168
MDYV,Mid-Cap Value,20.7,0.2183,3.5,1,1.003,12,2511,1.000697,0.006379,169
VB,Small Blend,22.5,0.2137,2.5,3,1.003,24,2511,1.00076,0.006547,170
IJS,Small Value,26.0,0.2354,2.5,3,1.0029,28,2511,1.000577,0.006799,171
MGV,Large Value,18.5,0.1629,3.0,3,1.0028,19,2511,1.000518,0.004887,172
PRFZ,Small Blend,19.8,0.2238,2.5,3,1.0027,30,2511,1.000575,0.007151,173
FYT,Small Value,15.2,0.2588,1.5,3,1.0027,101,2511,1.000794,0.008734,174
ZDM.TO,未分類,16.2,0.1561,1.5,3,1.0027,111,2508,1.000258,0.00657,175
ZFL.TO,未分類,16.1,0.1253,3.0,2,1.0024,11,2508,0.99962,0.005311,176
CGR.TO,未分類,17.5,0.1656,1.5,3,1.0018,103,2508,1.000287,0.006281,177
AIVL,Mid-Cap Value,20.1,0.1733,1.0,3,1.0017,211,2511,1.000122,0.005531,178
ZEB.TO,未分類,16.2,0.1691,1.0,3,1.0017,199,2508,1.000534,0.004712,179
CBO.TO,未分類,16.6,0.0359,3.5,1,1.0016,8,2508,0.999927,0.001342,180
XIG.TO,未分類,16.5,0.0893,2.5,3,1.0013,30,2508,1.000142,0.00368,181
HAB.TO,未分類,15.9,0.0785,2.5,2,1.0013,25,2508,0.999883,0.003035,182
