symbol,category,listing_years,annualized_volatility,trigger_zscore,optimal_days,best_rebound_ratio,event_count,total_trading_days,return_mean,return_std,rank
XSVM,Small Value,21.4,0.2501,-3.5,3,1.04,8,2512,0.999674,0.011555,1
VTWG,Small Growth,15.8,0.2423,-3.5,3,1.0377,8,2512,0.999461,0.011821,2
FNY,Mid-Cap Growth,15.2,0.2242,-3.5,3,1.0364,8,2512,0.999573,0.01091,3
XEG.TO,未分類,25.3,0.3341,-3.0,3,1.035,15,2509,0.999852,0.014698,4
PBW,Small Growth,21.4,0.3911,-3.0,3,1.0329,10,2512,0.998949,0.019952,5
HUN.TO,未分類,16.7,0.3467,-3.5,3,1.0307,12,2509,0.999666,0.012775,6
XMMO,Mid-Cap Blend,21.4,0.2235,-3.5,3,1.0283,12,2512,0.999688,0.01065,7
PNQI,Large Growth,18.1,0.2533,-3.5,3,1.0274,11,2512,1.000079,0.012532,8
CIF.TO,未分類,17.5,0.1669,-3.0,3,1.0251,21,2509,0.99883,0.00805,9
ZCH.TO,未分類,16.5,0.2855,-3.5,3,1.025,9,2509,0.999344,0.0114,10
RZG,Small Growth,20.4,0.2463,-3.5,3,1.0242,12,2512,0.999898,0.010955,11
IWO,Small Growth,26.0,0.2415,-3.5,3,1.0238,8,2512,0.999742,0.011798,12
FAD,Mid-Cap Growth,19.2,0.2132,-3.0,3,1.0232,16,2512,0.999829,0.009753,13
XGD.TO,未分類,25.3,0.3354,-3.5,3,1.023,9,2509,0.999851,0.01608,14
XCH.TO,未分類,16.5,0.2569,-3.0,2,1.0228,13,2509,0.999804,0.007577,15
SLYV,Small Value,25.8,0.239,-2.5,3,1.0218,23,2512,0.999803,0.011182,16
RWL,Large Value,18.3,0.1681,-3.5,3,1.0218,11,2512,1.000023,0.007254,17
RZV,Small Value,20.4,0.2689,-3.0,3,1.0218,17,2512,0.999895,0.012743,18
EPS,Large Value,19.4,0.1763,-3.5,3,1.0211,16,2512,0.999989,0.007393,19
FTA,Mid-Cap Value,19.1,0.1984,-3.5,3,1.0202,12,2512,0.99989,0.008423,20
ISCV,Small Value,22.0,0.232,-3.0,3,1.02,19,2512,0.999697,0.010332,21
FAB,Mid-Cap Value,19.2,0.2195,-3.0,3,1.0197,22,2512,1.000103,0.008466,22
ZMT.TO,未分類,16.2,0.3345,-3.5,2,1.0197,14,2509,0.999927,0.012051,23
XEM.TO,未分類,16.7,0.1839,-3.0,3,1.0195,19,2509,1.000027,0.005828,24
SPVM,Mid-Cap Value,15.1,0.1951,-3.0,3,1.0192,20,2512,0.999809,0.007653,25
VBR,Small Value,22.5,0.2165,-3.0,3,1.0191,16,2512,0.999775,0.009636,26
UPGD,Mid-Cap Blend,20.2,0.2155,-2.5,3,1.0189,36,2512,1.000022,0.008274,27
ZQQ.TO,未分類,16.5,0.2259,-3.5,2,1.0187,8,2509,1.000142,0.010644,28
GLCC.TO,未分類,15.2,0.3232,-3.5,3,1.0185,8,2509,0.999158,0.015887,29
FDL,Large Value,20.3,0.1712,-3.0,3,1.0181,19,2512,1.000078,0.007354,30
RFG,Mid-Cap Growth,20.4,0.2306,-2.5,3,1.018,40,2512,1.0002,0.009828,31
FPX,Mid-Cap Growth,20.1,0.2448,-2.5,3,1.0175,41,2512,1.000171,0.012043,32
MDYV,Mid-Cap Value,20.7,0.2183,-3.0,3,1.017,14,2512,0.999767,0.00957,33
VIOV,Small Value,15.8,0.2382,-2.5,3,1.0167,27,2512,0.999671,0.011103,34
VTWV,Small Value,15.8,0.2348,-3.0,3,1.0167,12,2512,0.999785,0.010909,35
IWC,Small Blend,20.9,0.2446,-2.5,3,1.0167,32,2512,0.999667,0.012077,36
FDM,Small Value,20.8,0.2332,-3.5,3,1.0165,9,2512,0.999579,0.010658,37
RWK,Mid-Cap Value,18.3,0.2289,-2.5,3,1.0161,31,2512,0.999562,0.010478,38
SDY,Mid-Cap Value,20.7,0.1707,-3.0,3,1.0161,19,2512,0.999999,0.007298,39
ZCN.TO,未分類,16.2,0.1498,-3.5,3,1.0161,11,2509,0.999928,0.006037,40
PRFZ,Small Blend,19.8,0.2238,-2.5,3,1.016,29,2512,0.999934,0.010415,41
SPHQ,Large Blend,20.6,0.1795,-3.0,3,1.0158,15,2512,1.000177,0.007585,42
CEW.TO,未分類,18.4,0.1692,-3.0,3,1.0157,20,2509,1.00021,0.007193,43
IMCV,Mid-Cap Value,22.0,0.1954,-3.0,3,1.0157,20,2512,0.999797,0.008278,44
HUC.TO,未分類,16.7,0.2893,-2.5,1,1.0152,37,2509,0.999554,0.011235,45
BMVP,Mid-Cap Blend,23.2,0.1873,-3.0,3,1.0151,17,2512,1.000464,0.006648,46
RFV,Small Value,20.4,0.2485,-2.5,3,1.015,27,2512,0.999754,0.010979,47
ISCG,Small Growth,22.0,0.2314,-3.5,3,1.0148,8,2512,0.999191,0.011306,48
IJS,Small Value,26.0,0.2354,-2.5,3,1.0145,22,2512,0.999888,0.011169,49
XSU.TO,未分類,19.2,0.2344,-2.5,2,1.0145,32,2509,0.999817,0.010686,50
IWY,Large Growth,16.8,0.2106,-2.5,3,1.0142,37,2512,1.00007,0.009788,51
PFM,Large Value,20.8,0.1518,-3.5,3,1.0141,9,2512,1.000088,0.006395,52
IWN,Small Value,26.0,0.2333,-2.0,3,1.0141,64,2512,0.999725,0.010699,53
GRPM,Small Blend,15.6,0.2219,-2.0,3,1.014,61,2512,0.999588,0.009737,54
IJK,Mid-Cap Growth,26.0,0.2106,-2.0,3,1.0139,60,2512,0.999882,0.009586,55
