symbol,category,listing_years,annualized_volatility,trigger_zscore,optimal_days,best_rebound_ratio,event_count,total_trading_days,return_mean,return_std,rank
FYT,Small Value,15.2,0.2588,-3.0,3,1.0138,13,2512,0.999644,0.011291,56
IJR,Small Blend,26.1,0.2285,-2.5,3,1.0137,27,2512,0.999859,0.010646,57
DVY,Mid-Cap Value,22.7,0.18,-2.0,3,1.0134,58,2512,1.000186,0.007766,58
AIVL,Mid-Cap Value,20.1,0.1733,-3.0,3,1.0134,21,2512,1.000304,0.007024,59
SUSA,Large Blend,21.5,0.1813,-3.0,3,1.0133,23,2512,0.999791,0.007933,60
SCHA,Small Blend,16.7,0.2274,-2.5,3,1.0131,34,2512,0.9998,0.010374,61
FYC,Small Growth,15.2,0.246,-2.0,3,1.0129,64,2512,0.999515,0.011658,62
WTV,Mid-Cap Value,19.4,0.1892,-2.5,3,1.0129,39,2512,0.999693,0.00711,63
SCHG,Large Growth,16.5,0.2157,-2.5,3,1.0129,39,2512,1.000115,0.009959,64
MGK,Large Growth,18.5,0.2197,-2.5,3,1.0129,33,2512,1.000131,0.010171,65
SLYG,Small Growth,25.8,0.2271,-2.0,3,1.0129,65,2512,0.999758,0.010621,66
IJH,Mid-Cap Blend,26.1,0.2113,-3.0,3,1.0127,15,2512,0.999862,0.009269,67
IWF,Large Growth,26.1,0.2105,-2.5,3,1.0125,39,2512,1.000148,0.009783,68
ILCB,Large Blend,22.0,0.1817,-3.0,3,1.0124,21,2512,1.000387,0.007805,69
RPG,Large Growth,20.4,0.2302,-2.5,3,1.0124,50,2512,1.000087,0.010632,70
IJT,Small Growth,26.0,0.2299,-2.0,3,1.0124,61,2512,0.999865,0.010707,71
XCV.TO,未分類,19.7,0.1552,-3.5,3,1.0124,12,2509,1.00006,0.004707,72
PKW,Mid-Cap Value,19.6,0.1969,-2.5,3,1.0122,30,2512,1.000364,0.008687,73
VB,Small Blend,22.5,0.2137,-2.0,3,1.0121,68,2512,0.999678,0.009832,74
IWL,Large Blend,16.8,0.181,-3.5,1,1.012,16,2512,0.99998,0.007818,75
VONG,Large Growth,15.8,0.2095,-2.5,3,1.0118,35,2512,0.999882,0.009757,76
HPR.TO,未分類,15.5,0.1175,-3.0,1,1.0117,12,2509,1.000057,0.005718,77
SPYG,Large Growth,25.8,0.2074,-2.5,3,1.0117,40,2512,0.999992,0.009398,78
IWR,Mid-Cap Blend,24.9,0.1931,-3.0,3,1.0116,22,2512,0.999809,0.008536,79
XMHQ,Mid-Cap Blend,19.6,0.2065,-3.0,1,1.0116,23,2512,0.999349,0.00882,80
IWS,Mid-Cap Value,24.9,0.193,-3.0,3,1.0116,17,2512,0.999882,0.008305,81
QQXT,Large Blend,19.2,0.1745,-2.0,3,1.0114,62,2512,1.00015,0.007225,82
VIOO,Small Blend,15.8,0.2294,-2.5,3,1.0113,30,2512,0.999607,0.010725,83
IVOG,Mid-Cap Growth,15.8,0.2059,-2.0,3,1.0112,62,2512,0.9997,0.009498,84
IWP,Mid-Cap Growth,24.9,0.2169,-2.5,3,1.0111,31,2512,1.000004,0.010413,85
IWM,Small Blend,26.1,0.2301,-2.0,3,1.011,62,2512,0.999805,0.010895,86
IMCB,Mid-Cap Blend,22.0,0.196,-3.5,1,1.0109,12,2512,1.000089,0.008313,87
PDP,Large Growth,19.4,0.2182,-2.5,3,1.0109,40,2512,0.999998,0.010243,88
DES,Small Value,20.1,0.2191,-3.0,3,1.0108,8,2512,0.999727,0.009905,89
VOO,Large Blend,15.8,0.18,-3.5,1,1.0108,16,2512,1.000115,0.007726,90
SPY,Large Blend,33.5,0.1793,-3.0,3,1.0108,27,2512,1.000152,0.007687,91
SPTM,Large Blend,25.8,0.1802,-3.0,3,1.0108,26,2512,0.999924,0.007765,92
DIA,Large Value,28.5,0.1751,-2.5,3,1.0108,39,2512,1.000132,0.00722,93
XWD.TO,未分類,16.7,0.1534,-2.5,3,1.0107,30,2509,0.999963,0.005943,94
ILCG,Large Growth,22.0,0.2165,-2.0,3,1.0106,60,2512,1.000131,0.010123,95
PEY,Mid-Cap Value,21.6,0.1887,-3.0,3,1.0106,17,2512,0.999901,0.008538,96
HXS.TO,未分類,15.5,0.1655,-2.5,3,1.0105,34,2509,0.999839,0.006908,97
FEX,Large Blend,19.2,0.1856,-2.5,3,1.0103,34,2512,1.000111,0.007912,98
SPGP,Large Value,15.1,0.2121,-2.0,3,1.0103,67,2512,0.999925,0.008816,99
DON,Mid-Cap Value,20.1,0.2021,-2.5,3,1.0102,36,2512,0.999764,0.008733,100
ZEM.TO,未分類,16.2,0.1883,-3.0,3,1.0102,13,2509,1.000406,0.006493,101
VXF,Mid-Cap Blend,24.5,0.2226,-2.5,3,1.0102,35,2512,0.999795,0.010329,102
PRF,Large Value,20.6,0.1759,-3.0,3,1.0101,19,2512,1.00015,0.007342,103
XBB.TO,未分類,25.6,0.0669,-3.5,3,1.01,8,2509,1.000165,0.002409,104
IVV,Large Blend,26.1,0.1805,-3.0,3,1.01,28,2512,1.000137,0.00763,105
XBAL.TO,未分類,19.1,0.0941,-3.5,3,1.0099,8,2509,0.999825,0.003904,106
VTWO,Small Blend,15.8,0.2305,-1.5,3,1.0098,117,2512,0.99976,0.010775,107
IVOO,Mid-Cap Blend,15.8,0.2115,-2.0,3,1.0098,58,2512,0.999639,0.009408,108
XMVM,Small Value,21.4,0.2275,-2.5,3,1.0098,33,2512,0.999814,0.0102,109
VOT,Mid-Cap Growth,19.9,0.2101,-2.5,3,1.0097,32,2512,0.999827,0.009816,110
CZA,Mid-Cap Blend,19.3,0.1919,-3.0,1,1.0097,15,2512,1.000285,0.007789,111
IJJ,Mid-Cap Value,26.0,0.2196,-2.0,3,1.0096,64,2512,0.99987,0.009589,112
RSP,Large Blend,23.2,0.1828,-3.0,3,1.0094,21,2512,1.000011,0.007732,113
EZM,Small Value,19.4,0.2228,-3.0,3,1.0093,18,2512,0.999985,0.009907,114
ILCV,Large Value,22.0,0.1662,-3.0,3,1.0092,19,2512,0.999866,0.007035,115
IWV,Large Blend,26.1,0.1838,-3.0,3,1.0092,28,2512,1.000054,0.008,116
FTC,Large Growth,19.2,0.2069,-2.5,3,1.0092,37,2512,1.000144,0.009577,117
DSI,Large Blend,19.7,0.187,-3.0,1,1.0091,26,2512,1.000012,0.008221,118
IVW,Large Growth,26.1,0.207,-2.5,3,1.009,39,2512,1.00008,0.009447,119
QQQ,Large Growth,27.3,0.2245,-3.5,2,1.009,9,2512,1.000275,0.010493,120
RPV,Mid-Cap Value,20.4,0.2181,-2.5,3,1.0089,26,2512,1.000175,0.009371,121
IWX,Large Value,16.8,0.1648,-2.5,3,1.0089,34,2512,1.000029,0.006627,122
SPYM,未分類,20.7,0.18,-3.0,3,1.0089,28,2512,0.999928,0.007717,123
VOE,Mid-Cap Value,19.9,0.1873,-3.0,3,1.0089,21,2512,0.99985,0.007947,124
IWD,Large Value,26.1,0.1724,-3.5,1,1.0088,11,2512,1.000027,0.007112,125
PWB,Large Growth,21.4,0.2105,-2.0,3,1.0087,62,2512,1.000059,0.009693,126
VV,Large Blend,22.5,0.1819,-3.5,3,1.0085,17,2512,1.000081,0.007813,127
VONE,Large Blend,15.8,0.1823,-3.0,3,1.0085,24,2512,0.999899,0.007905,128
FTCS,Large Blend,20.0,0.1552,-2.0,3,1.0083,65,2512,0.99984,0.006703,129
IWB,Large Blend,26.1,0.1812,-3.5,1,1.0083,16,2512,1.000033,0.007881,130
VOOG,Large Growth,15.8,0.2082,-2.5,3,1.0081,35,2512,1.000016,0.009467,131
PWV,Large Value,21.4,0.1714,-3.0,3,1.0081,18,2512,1.000328,0.007204,132
ZFL.TO,未分類,16.1,0.1253,-3.5,2,1.008,10,2509,1.000329,0.00521,133
IYY,Large Blend,26.1,0.1815,-3.5,1,1.0079,18,2512,1.00005,0.007925,134
MGC,Large Blend,18.5,0.1822,-3.0,3,1.0079,19,2512,1.000096,0.007913,135
VUG,Large Growth,22.5,0.2151,-3.0,1,1.0079,26,2512,1.000113,0.00999,136
MDYG,Mid-Cap Growth,20.7,0.2106,-2.0,3,1.0079,62,2512,0.999688,0.009615,137
DHS,Large Value,20.1,0.1607,-3.5,1,1.0078,9,2512,1.000044,0.00687,138
FVD,Mid-Cap Value,22.9,0.1544,-3.5,3,1.0078,11,2512,0.999958,0.006466,139
SCHV,Large Value,16.6,0.1692,-2.5,3,1.0078,36,2512,1.000104,0.006947,140
XIU.TO,未分類,26.8,0.1498,-3.0,3,1.0077,14,2509,1.000087,0.006071,141
SCHM,Mid-Cap Blend,15.5,0.2047,-2.0,3,1.0077,65,2512,0.999784,0.009138,142
IMCG,Mid-Cap Growth,22.0,0.2055,-2.5,3,1.0076,41,2512,0.999835,0.0096,143
VBK,Small Growth,22.5,0.2289,-2.5,3,1.0076,40,2512,0.999701,0.011057,144
IVE,Large Value,26.1,0.1688,-2.5,3,1.0076,37,2512,1.000073,0.006929,145
IUSG,Large Growth,26.0,0.2048,-2.0,3,1.0076,63,2512,0.999971,0.00941,146
ZDM.TO,未分類,16.2,0.1561,-3.5,3,1.0075,12,2509,1.000336,0.005256,147
MGV,Large Value,18.5,0.1629,-2.5,3,1.0075,38,2512,1.00005,0.006645,148
IUSV,Large Value,25.9,0.1698,-2.5,3,1.0074,38,2512,0.999933,0.007119,149
XCG.TO,未分類,19.7,0.1653,-3.5,1,1.0074,9,2509,0.999895,0.006194,150
VIG,Large Blend,20.2,0.1601,-2.5,3,1.0074,34,2512,1.000122,0.006781,151
VOOV,Large Value,15.8,0.1688,-3.5,2,1.0073,8,2512,0.999933,0.006976,152
EES,Small Value,19.4,0.2371,-2.5,2,1.0073,20,2512,0.999974,0.011062,153
XIG.TO,未分類,16.5,0.0893,-3.5,3,1.0071,11,2509,0.999914,0.003208,154
OEF,Large Blend,25.7,0.1846,-2.5,3,1.007,34,2512,1.000132,0.008075,155
XCS.TO,未分類,19.2,0.2049,-1.5,2,1.007,137,2509,0.999797,0.008538,156
VO,Mid-Cap Blend,22.5,0.1887,-2.5,3,1.0068,40,2512,0.999797,0.008297,157
ZRR.TO,未分類,16.1,0.1046,-3.5,1,1.0067,8,2509,0.999855,0.004461,158
VTI,Large Blend,25.1,0.1829,-1.5,3,1.0066,122,2512,0.99997,0.007919,159
XRB.TO,未分類,20.5,0.1131,-3.0,2,1.0065,14,2509,1.000238,0.004963,160
VTV,Large Value,22.5,0.1661,-2.5,3,1.0064,34,2512,1.000013,0.006742,161
DTD,Large Value,20.1,0.1616,-2.5,3,1.0063,33,2512,0.99987,0.006606,162
SCHX,Large Blend,16.7,0.1814,-3.5,1,1.0062,18,2512,1.000173,0.007862,163
SPYV,Large Value,25.8,0.1688,-2.5,3,1.0059,40,2512,0.999998,0.006964,164
EQWL,Large Value,19.6,0.1671,-3.5,2,1.0058,11,2512,0.999714,0.006627,165
FNK,Small Value,15.2,0.2375,-1.5,3,1.0056,121,2512,0.999781,0.009611,166
SCHB,Large Blend,16.7,0.1831,-2.5,3,1.0056,32,2512,1.000014,0.007922,167
ITOT,Large Blend,22.5,0.1825,-2.0,3,1.0056,62,2512,0.999983,0.007993,168
XCB.TO,未分類,19.7,0.0723,-3.0,3,1.0055,13,2509,1.000231,0.002347,169
XSP.TO,未分類,24.2,0.182,-3.5,2,1.0055,17,2509,1.000031,0.007699,170
SPLV,Large Value,15.2,0.154,-2.0,3,1.0055,60,2512,1.000191,0.006544,171
RIT.TO,未分類,18.0,0.1546,-3.0,3,1.0055,14,2509,0.999958,0.007064,172
POWA,Large Blend,19.6,0.1604,-2.5,3,1.0054,31,2512,1.000382,0.006719,173
VONV,Large Value,15.8,0.172,-2.0,3,1.0053,65,2512,0.999891,0.00719,174
CGAA.TO,未分類,18.0,0.1549,-3.5,1,1.0051,16,2508,0.99994,0.00318,175
CSM,Large Blend,17.0,0.1836,-3.5,3,1.0051,17,2512,1.000149,0.007705,176
VYM,Large Value,19.7,0.1629,-2.0,3,1.0049,65,2512,1.000024,0.006726,177
ZWB.TO,未分類,15.4,0.1569,-2.0,3,1.0049,61,2509,1.000109,0.006379,178
CDZ.TO,未分類,19.8,0.1459,-1.5,3,1.0045,112,2509,1.000188,0.005401,179
ZEB.TO,未分類,16.2,0.1691,-2.5,3,1.0045,35,2509,1.000108,0.006677,180
EQL,Large Value,17.0,0.1649,-2.5,3,1.004,36,2512,0.999624,0.006736,181
XDV.TO,未分類,20.5,0.1464,-2.0,2,1.0038,57,2509,1.000283,0.005448,182
XRE.TO,未分類,23.7,0.1759,-1.5,3,1.0031,114,2509,1.000381,0.00813,183
CGR.TO,未分類,17.5,0.1656,-2.5,2,1.0029,31,2509,0.999947,0.007011,184
HAB.TO,未分類,15.9,0.0785,-3.0,2,1.0024,11,2509,1.000262,0.003407,185
ZAG.TO,未分類,16.5,0.0711,-2.5,2,1.0021,23,2509,1.000098,0.002477,186
ZRE.TO,未分類,16.1,0.1769,-2.0,3,1.002,51,2509,1.000308,0.007689,187
XQB.TO,未分類,16.2,0.0578,-2.5,2,1.0015,29,2509,1.000047,0.002229,188
CLF.TO,未分類,18.4,0.0335,-2.5,1,1.0013,25,2509,1.000132,0.001182,189
XLB.TO,未分類,19.7,0.1165,-2.5,2,1.0011,31,2509,1.000189,0.004853,190
ZCM.TO,未分類,16.5,0.0876,-2.0,2,1.001,55,2509,1.000184,0.002465,191
ZPS.TO,未分類,16.2,0.0254,-3.0,3,1.0009,18,2509,1.000007,0.001025,192
XSB.TO,未分類,25.6,0.034,-3.0,1,1.0004,16,2509,1.000059,0.001041,193
CBO.TO,未分類,16.6,0.0359,-1.0,2,1.0003,202,2509,1.000193,0.001435,194
ZCS.TO,未分類,16.2,0.0438,-1.0,3,1.0003,325,2509,1.00005,0.001302,195
